words,count
hình bóng xưa,2
xưa mãi đi,2
đi đành xót,2
yêu xưa mãi,2
bóng xưa kia,2
đi hình bóng,2
kia đi đành,2
xót lẽ loi,2
mãi đi hình,2
mãi tình yêu,2
tình yêu xưa,2
xưa kia đi,2
đành xót lẽ,2
tình yêu hỡi,1
yêu hỡi vôi,1
bỡ ngỡ yêu,1
tim tình yêu,1
ta sánh đường,1
ánh mắt mãi,1
chốn ta sánh,1
khoé mi mãi,1
lẽ loi niềm,1
vôi xưa bây,1
mắt mãi đi,1
mãi mãi tình,1
yêu trái tim,1
mãi đi tình,1
đành vội ánh,1
niềm chốn ta,1
đường thời bỡ,1
thời bỡ ngỡ,1
đi tình yêu,1
vội ánh mắt,1
trái tim tình,1
bây giọt sầu,1
sánh đường thời,1
xưa bây giọt,1
sầu khoé mi,1
mi mãi tình,1
tình yêu mãi,1
yêu mãi mãi,1
loi niềm chốn,1
ngỡ yêu trái,1
nỡ đành vội,1
hỡi vôi xưa,1
giọt sầu khoé,1
