words,count
to sleep,3
i don't,3
don't like,3
like to,3
sleep alone,3
đêm dần,2
alone mong,2
hoang lạnh,2
lạnh xót,2
đời môi,1
phiền cất,1
trao say,1
giấc mơ,1
trôi bao,1
đắm say,1
dần ôi,1
xót đêm,1
ôm sát,1
mong i,1
say quên,1
yêu đừng,1
lìa i,1
môi đôi,1
mấy đêm,1
đôi ta,1
cất tiếng,1
ưu phiền,1
màn đêm,1
dối gian,1
bao khát,1
ta trao,1
thói đời,1
giấc nồng,1
trao trao,1
no one,1
gian trôi,1
đừng dối,1
thềm trao,1
đêm yêu,1
trao giấc,1
khao đắm,1
say giấc,1
one does,1
mong mấy,1
mấy màn,1
sát gian,1
đi ưu,1
dần hoang,1
gian đơn,1
quên thói,1
