words,count
don't like to,3
like to sleep,3
i don't like,3
to sleep alone,3
sleep alone mong,2
hoang lạnh xót,2
mấy đêm dần,1
ưu phiền cất,1
khát khao đắm,1
khao đắm say,1
one does you,1
tiếng ca đêm,1
mấy màn đêm,1
thềm trao giấc,1
mơ ôm sát,1
mong mấy màn,1
say quên thói,1
say giấc nồng,1
nồng quên đi,1
dối gian đơn,1
ôi hoang lạnh,1
no one does,1
trao giấc mơ,1
đôi ta trao,1
alone mong i,1
trao say giấc,1
đi ưu phiền,1
dần ôi hoang,1
đừng dối gian,1
buồn lìa i,1
lạnh xót đêm,1
trao trao say,1
trôi bao khát,1
dần hoang lạnh,1
đêm dần ôi,1
ca đêm yêu,1
giấc mơ ôm,1
alone mong mấy,1
đắm say quên,1
cất tiếng ca,1
yêu đừng dối,1
sát gian trôi,1
đời môi đôi,1
đơn buồn lìa,1
đêm mong thềm,1
màn đêm dần,1
xót i don't,1
lìa i don't,1
quên thói đời,1
thói đời môi,1
