words,count
tang tình,67
cà phê,52
ngựa ô,49
tình tang,45
ố tang,32
trăng rằm,24
quê hương,24
đi cà,24
trăng trăng,23
ta đi,23
,17
hội trăng,16
tang non,16
chàng dinh,14
dinh dinh,14
mẹ quê,14
non tang,14
ô ô,13
lang thang,13
lý ngựa,13
yêu thương,13
phá phá,12
hiền đệ,12
thiếp chàng,12
vô cà,12
phê lo,12
xinh xinh,12
yên tra,12
mê cà,12
mẹ đi,12
ô ngựa,11
chén rượu,11
đêm trăng,11
tang ố,11
nghẹn ngào,11
tín nữ,11
thu hà,11
tử kỳ,11
tân sinh,10
ha ha,10
mong chờ,10
trái tim,10
tình ố,10
í a,10
niềm thương,9
yêu yêu,9
sông sâu,9
núi đôi,9
sắt son,9
trọn đời,9
