words,count
tang tình tang,35
đi cà phê,24
tình tang tình,24
ố tang tình,22
hội trăng rằm,16
tang non tang,14
chàng dinh dinh,14
mê cà phê,12
cà phê lo,12
la la la,12
vô cà phê,12
ô ngựa ô,11
ngựa ô ô,11
tang ố tang,11
tình tang non,10
tang tình ố,10
ố tang ố,10
tình ố tang,10
lý ngựa ô,10
bạch thu hà,9
ngựa ô í,8
phai yêu yêu,8
son phai yêu,8
ta ly trà,8
kiếm tiền lo,8
đá đi kiếm,8
lo kéo cày,8
ngựa ô ngựa,8
non tang tình,8
tiền lo xây,8
lo thả mồi,8
ly trà đá,8
trà đá đi,8
trà la la,8
mái thiệt đẹp,8
xây mái thiệt,8
thả mồi lo,8
đi kiếm tiền,8
sắt son phai,8
phá phá phá,8
cà phê mê,8
mồi lo kéo,8
ta đi lang,8
kêu ta ly,8
phê kêu ta,8
đi lang thang,8
thắng chàng dinh,8
lo xây mái,8
ha ha ha,8
yêu đi cà,8
