words,count
youre beautiful,12
beautiful beautiful,12
beautiful because,6
cause youre,6
because youre,6
beautiful oh,6
trọn đời,5
i wanna,4
hỡi yêu,4
amore mio,4
đời ta,4
vùi sâu,3
nao tình,3
đoạn đường,3
wherever you,3
ngời tim,3
lớp sóng,3
you may,3
sắc màu,3
tim sống,3
trông bóng,3
rạng ngời,3
làn gió,3
xao đoạn,3
linh tô,3
chàng phương,3
those lazy,3
tô nhẹ,3
bóng chốn,3
vạt nắng,3
màu rực,3
far away,3
bao sắc,3
summer days,3
may go,3
away wherever,3
đường vạt,3
rực rỡ,3
tình mãi,3
sống bao,3
muôn cause,3
xôn xao,3
days seem,3
oh rạng,3
sóng xô,3
go tiamo,3
đuối cause,3
rỡ muôn,3
now those,3
chốn vấn,3
