words,count
youre beautiful beautiful,12
cause youre beautiful,6
beautiful beautiful because,6
beautiful because youre,6
because youre beautiful,6
beautiful beautiful oh,6
trọn đời ta,4
lênh đênh vùi,3
sâu lớp sóng,3
chốn vấn vương,3
tình mãi lênh,3
away wherever you,3
may go tiamo,3
sóng xô hỡi,3
rỡ muôn cause,3
wherever you may,3
beautiful oh yeah,3
màu rực rỡ,3
linh tô nhẹ,3
tim sống bao,3
đoạn đường vạt,3
ngời tim sống,3
beautiful oh rạng,3
vùi sâu lớp,3
sắc màu rực,3
môi đắm đuối,3
days seem far,3
ngóng trông bóng,3
bao sắc màu,3
làn môi đắm,3
phương trời nao,3
sống bao sắc,3
đuối cause youre,3
nhẹ làn môi,3
đắm đuối cause,3
gió xôn xao,3
tô nhẹ làn,3
chàng phương trời,3
đênh vùi sâu,3
mãi lênh đênh,3
lung linh tô,3
oh rạng ngời,3
nắng lung linh,3
you may go,3
bao ngóng trông,3
trời nao tình,3
xao đoạn đường,3
rạng ngời tim,3
làn gió xôn,3
xôn xao đoạn,3
