words,count
wish you,17
we wish,17
you a,17
a merry,17
merry christmas,17
christmas and,10
christmas we,10
happy new,10
new year,10
and a,7
a happy,6
good tidings,6
when a,5
a woman,5
man loves,5
year we,5
loves a,5
a man,5
and happy,4
us a,3
your kin,3
bring to,3
yêu dấu,3
to you,3
a figgy,3
figgy pudding,3
and your,3
you and,3
kin good,3
bring us,3
tidings we,3
tidings for,3
oh bring,3
for christmas,3
year good,3
we bring,3
if she,2
woman when,2
baby baby,2
pudding oh,2
woman i,1
i know,1
in his,1
to be,1
bring him,1
tình đừng,1
ước mơ,1
ngại ngùng,1
said that's,1
mơ he'd,1
