words,count
you a merry,17
wish you a,17
we wish you,17
a merry christmas,17
merry christmas we,10
happy new year,10
christmas we wish,10
merry christmas and,7
and a happy,6
a happy new,6
christmas and a,6
new year we,5
loves a woman,5
when a man,5
a man loves,5
year we wish,5
man loves a,5
christmas and happy,4
and happy new,4
kin good tidings,3
tidings we bring,3
and your kin,3
you and your,3
us a figgy,3
to you and,3
a figgy pudding,3
good tidings we,3
bring us a,3
we bring to,3
tidings for christmas,3
good tidings for,3
your kin good,3
bring to you,3
for christmas and,3
oh bring us,3
new year good,3
year good tidings,3
pudding oh bring,2
figgy pudding oh,2
a woman when,2
woman when a,2
đừng rời yêu,1
if she is,1
cause baby baby,1
nghĩa tình đừng,1
woman i know,1
i know exactly,1
yêu dấu ước,1
he's the last,1
know loving eye's,1
