words,count
donna donna,20
hư hư,14
ngủ đi,10
donna ngủ,10
đi bao,4
nhịp cầu,4
cánh mẹ,4
sông muộn,4
thơ ấu,4
đi nằm,4
rơi donna,4
bắc nhịp,4
nhánh sông,4
mơ bay,4
đường gió,4
nằm cánh,4
phiền bến,4
trời đường,4
rêu phong,4
tuyết rơi,4
đi trời,4
gió tuyết,4
tiếng ru,4
muộn phiền,4
ngang nhánh,4
cầu ngang,4
đêm tiếng,4
bến sâu,4
to sleep,3
your mind,3
giấc mơ,3
i don't,3
ước mơ,3
đời bao,3
don't like,3
like to,3
khát khao,3
sleep alone,3
hời donna,2
ấu mau,2
thơ dại,2
ru hời,2
núi sông,2
trắng giấc,2
tường rêu,2
đành trắng,2
vô tình,2
yêu dấu,2
khóc thơ,2
ghềnh tình,2
