words,count
hư hư hư,12
donna ngủ đi,10
donna donna ngủ,10
donna donna donna,10
phiền bến sâu,4
ngủ đi nằm,4
tuyết rơi donna,4
bắc nhịp cầu,4
ngang nhánh sông,4
đi nằm cánh,4
ngủ đi trời,4
đi trời đường,4
đường gió tuyết,4
nhánh sông muộn,4
gió tuyết rơi,4
đêm tiếng ru,4
trời đường gió,4
rơi donna donna,4
nằm cánh mẹ,4
cầu ngang nhánh,4
sông muộn phiền,4
nhịp cầu ngang,4
muộn phiền bến,4
don't like to,3
like to sleep,3
i don't like,3
to sleep alone,3
gập ghềnh tình,2
yêu dấu tường,2
cánh chim ngang,2
bay đi khát,2
tiếng ru mẹ,2
đời bao cay,2
khôn lụa yên,2
sleep alone mong,2
mơ bay đi,2
bé thơ ấu,2
hời donna donna,2
hiền donna donna,2
bao vô tình,2
bao núi sông,2
lụa yên ấm,2
mưa nắng đành,2
mơ chân giang,2
phong khóc thơ,2
khóc thơ ấu,2
mơ thơ dại,2
vơi mơ bay,2
a bridge over,2
yên ấm ước,2
