words,count
giấc mơ,16
tình yêu,12
tuyệt vọng,10
trái tim,10
đi hỡi,9
mùa hè,8
đi câu,8
ngàn thăng,7
thăng long,7
tình ta,7
đất bốn,7
long ngàn,7
tiền nhân,7
bốn ngàn,7
nỗi đau,6
chiều thương,6
đôi ta,6
hà nội,6
chiều chúa,6
yêu thương,6
đau tình,6
dòng sông,6
buồn vui,6
lạnh lùng,5
chúa nhật,5
nhật buồn,5
mênh mông,5
mùa xuân,5
hỡi tình,5
bơ vơ,5
nát tan,5
cõng đi,5
đêm lạnh,4
tan bóng,4
ơn tiền,4
tim vô,4
nàn yêu,4
lá rơi,4
phiêu diêu,4
thương tiếc,4
xây đẹp,4
hạnh phúc,4
đừng thương,4
yêu tuyệt,4
mắt nỗi,4
đi bơ,4
hè rộn,4
phôi pha,4
nồng nàn,4
bóng đêm,4
