words,count
thăng long ngàn,7
bốn ngàn thăng,7
ngàn thăng long,7
đất bốn ngàn,7
chiều chúa nhật,5
cõng đi câu,5
chúa nhật buồn,5
ơn tiền nhân,4
mãi vui ôm,4
mãi mãi thương,4
vỡ nát tan,4
mắt nỗi đau,4
vui ôm yêu,4
đau giấc mơ,4
trái tim vô,4
thương tiếc chi,4
vơ lẻ loi,4
tan bóng đêm,4
đi bơ vơ,4
mùa hè thân,4
tiếc chi đau,4
ngàn ơn tiền,4
tiền nhân ta,4
yêu thương xưa,4
đêm lạnh lùng,4
hạnh phúc bé,4
phúc bé vỡ,4
đẹp tình yêu,4
hỡi tình trao,4
hè rộn rã,4
bóng đêm lạnh,4
tím chiều thương,4
mong mãi vui,4
vỡ đôi hỡi,4
ôm yêu thương,4
ta dựng xây,4
tình ta phôi,4
đau tình ta,4
khóc trái tim,4
tình mong mãi,4
chiều tím chiều,4
dựng xây đẹp,4
hà nội mắt,4
nhặt vỡ đôi,4
khóc khóc trái,4
tình yêu tuyệt,4
đôi hỡi tình,4
bơ vơ lẻ,4
niềm tuyệt vọng,4
nát tan bóng,4
