words,count
tình yêu,30
ha ha,27
dô dô,23
yêu thương,23
hương lúa,23
đinh lĩnh,19
ah ah,17
mục đồng,16
you're not,16
if you're,16
in it,13
it for,13
not in,13
mãi mãi,13
mùi hương,13
cánh hoa,12
hạnh phúc,12
đợi chờ,12
chân trời,12
cánh đồng,12
nụ cười,12
đố đếm,12
nồng nàn,11
im unstoppable,11
dô hò,11
tình quê,11
chim hót,11
hò dô,11
mạ ối,10
tiếc nuối,10
ối a,10
a tiền,10
đồng làng,10
mùa đông,10
đổi thay,10
nhổ mạ,10
câu hò,9
quê hương,9
giấc mộng,9
lá rừng,9
dịu dàng,9
hoa kia,9
hứa hứa,9
for love,9
hoa lá,8
bướm đùa,8
yêu muôn,8
trường đấy,8
cấy công,8
đi cấy,8
