words,count
ha ha ha,21
if you're not,16
not in it,13
you're not in,13
in it for,13
ah ah ah,12
dô dô dô,12
dô hò dô,11
dô dô hò,11
nhổ mạ ối,10
cánh đồng làng,10
mạ ối a,10
ối a tiền,10
it for love,9
thời đi cấy,8
đấy bươm bướm,8
đùa hoa lá,8
lá tung bay,8
trường đấy bươm,8
hót cành chào,8
chào trường đấy,8
đi cấy công,8
cành chào trường,8
hoa lá tung,8
chim hót cành,8
bướm đùa hoa,8
bươm bướm đùa,8
hò dô dô,7
tung bay chim,7
hương lúa nồng,7
bay chim hót,7
lúa nồng nàn,7
thả xuôi dòng,6
rừng trời ngời,6
vang câu hò,6
tiền nhổ mạ,6
đêm đời xưa,6
đố đố đếm,6
đồng tình quê,6
hó lơ a,6
lơ hó lơ,6
yêu thiết tha,6
vai chiều đi,6
a tiền nhổ,6
lơ a li,6
buồn thả xuôi,6
trời ngời công,6
thuyền giấy buồn,6
vương vai chiều,6
chiều đi đời,6
