words,count
ah ah,17
mục đồng,16
hứa hứa,9
bươm bướm,8
bướm đùa,8
trường đấy,8
chào trường,8
lá tung,8
cành chào,8
chim hót,8
hoa lá,8
đùa hoa,8
hót cành,8
đấy bươm,8
tung bay,8
bay chim,7
xưa đừng,6
yêu chi,6
thương lắm,6
chẳng lìa,6
trọn đời,6
mãi mãi,6
yeah yeah,6
đồng trâu,5
phai trăm,4
thảnh thơi,4
lãng quên,4
quạnh hiu,4
mãi tiếng,4
tình tình,4
tàn phai,4
vô tàn,4
hư vô,4
thiên thu,4
đồng quạnh,4
dấu hư,4
trăm mai,4
dần quên,3
quên quên,3
ưh ưh,3
hứa bao,3
ruộng trâu,3
chia ly,3
đi bao,3
đời hứa,3
quắt đồng,3
tâm bận,3
lắm vụ,3
yêu khăn,3
mùa trắng,3
