words,count
ah ah ah,12
lá tung bay,8
chào trường đấy,8
đấy bươm bướm,8
đùa hoa lá,8
trường đấy bươm,8
hót cành chào,8
cành chào trường,8
hoa lá tung,8
chim hót cành,8
bướm đùa hoa,8
bươm bướm đùa,8
tung bay chim,7
bay chim hót,7
hư vô tàn,4
phai trăm mai,4
đồng quạnh hiu,4
mãi mãi tiếng,4
mục đồng quạnh,4
tàn phai trăm,4
dấu hư vô,4
yeah yeah yeah,4
vô tàn phai,4
thương lắm mưa,3
ruộng chẳng lìa,3
đừng hứa hứa,3
xưa đừng yêu,3
ah ah thương,3
chờ ta xưa,3
mùa trắng thương,3
hứa hứa bao,3
dần quên quên,3
quắt đồng trâu,3
ly đi đi,3
đi bao muộn,3
trắng thương lắm,3
đời hứa hứa,3
thương lắm vụ,3
quên quên đi,3
khăn đợi chờ,3
hứa trọn đời,3
trần quắt đồng,3
ta xưa đừng,3
tâm bận dần,3
lắm vụ mùa,3
trọn đời yêu,3
hứa hứa trọn,3
chia ly đi,3
phiền ký ức,3
đừng yêu trọn,3
