words,count
đi cày trâu,2
gắng đời mơ,2
rang cơm nguội,2
đám mạ non,2
cố gắng đời,2
mạ non,2
còng lưng,2
vai  còng,2
cày trâu,2
đi đồng đồng,2
cuốc vai,2
gian nan chăm,1
mưa nắng thuỷ,1
mơ thương a,1
khổ long đong,1
mỹ khiếp kinh,1
gánh đám rau,1
cày cấy đồng,1
kiên cường bao,1
nắng thuỷ mặn,1
thồ lồ ma,1
a j e,1
j e trông,1
chất phát thương,1
suối cối lẫy,1
lưng gánh đám,1
phóng quê hương,1
quê hương the,1
trâu gặm cỏ,1
quê hương nhạn,1
khúc xúc động,1
e trông tụi,1
hừm nãy h,1
kìa dậy đi,1
tối thui sao…,1
thăm giàn bầu,1
sậy đi cày,1
hái thau,1
đó.muôn 1 bao,1
lao quân dân,1
cỏ rẫy lưng,1
đồng hừm nãy,1
thương rui chiu,1
chiến thắng quân,1
nãy h 2,1
đường băng băng,1
lẫy lừng mồ,1
a lo vợ,1
son đồng hừm,1
đường 5 kiêu,1
