words,count
mona lisa,26
mona mona,24
no no,16
tonight tonight,16
youre beautiful,12
beautiful beautiful,12
love you,11
leave me,10
dont leave,10
i can,9
giấc mơ,8
all right,8
you more,8
rối bời,8
baby dont,8
than i,8
can say,8
more than,8
đôi ta,7
lisa mona,7
trọn đời,7
lung linh,7
quên đi,7
oh yea,6
beautiful because,6
khao khát,6
cause youre,6
because youre,6
yêu thương,6
beautiful oh,6
vấn vương,6
đi buồn,5
trông bóng,5
rực rỡ,5
giây phút,5
yêu yêu,5
dont you,5
đắm say,5
phút giây,5
trái tim,5
i love,5
cháy tonight,4
mê say,4
lùng giết,4
ánh mặt,4
đôi môi,4
giết chết,4
xua tan,4
tan đi,4
ôi khao,4
