words,count
mona mona lisa,24
youre beautiful beautiful,12
no no no,12
dont leave me,10
more than i,8
you more than,8
love you more,8
than i can,8
i can say,8
mona lisa mona,7
lisa mona mona,7
cause youre beautiful,6
beautiful beautiful because,6
beautiful because youre,6
because youre beautiful,6
beautiful beautiful oh,6
i love you,5
lisa đôi môi,4
lisa ôi khao,4
trái tim bừng,4
tonight nụ cười,4
cháy mona mona,4
baby baby dont,4
you come please,4
baby dont you,4
linh ánh mặt,4
all right suy,4
tonight vui cháy,4
phiền trái tim,4
đi all right,4
leave me no,4
dont you come,4
buồn chán tonight,4
mona lisa lung,4
please dont leave,4
ánh mặt trời,4
mona lisa lạnh,4
xóa ưu phiền,4
baby dont leave,4
cháy tonight tonight,4
phút giây phút,4
trời mona mona,4
đi buồn chán,4
lisa lung linh,4
tonight tonight quên,4
tonight tonight nụ,4
ôi khao khát,4
tonight xóa ưu,4
tonight quên đi,4
chán tonight tonight,4
