words,count
mùa xuân,31
màu hoa,21
giấc mơ,19
nhịp cầu,17
tình yêu,14
quê hương,14
mùa thu,13
trái tim,12
dòng sông,11
lả noọng,10
tình ta,10
inh lả,10
tuyệt vọng,10
mặt trời,10
hời hỡi,10
đi hỡi,10
yêu thương,9
when we,8
mùa hè,8
ru hời,8
dắt mấy,8
kỷ niệm,8
in red,8
núi rừng,8
mấy nhịp,8
ước mơ,8
ngàn hoa,8
đau tình,8
đi câu,8
lady in,8
muôn màu,7
sắc hương,7
ngàn thăng,7
hoa bốn,7
êm đềm,7
were young,7
we were,7
đất bốn,7
ru ru,7
thăng long,7
long ngàn,7
niệm xưa,7
tiền nhân,7
one day,7
bốn mùa,7
bốn ngàn,7
hà nội,6
nang ninh,6
đôi ta,6
chiều chúa,6
