words,count
inh lả noọng,10
ru hời hỡi,8
mấy nhịp cầu,8
lady in red,8
dắt mấy nhịp,8
thăng long ngàn,7
kỷ niệm xưa,7
bốn ngàn thăng,7
ngàn thăng long,7
hoa bốn mùa,7
when we were,7
đất bốn ngàn,7
we were young,7
were young one,6
young one day,6
cầu hiền lương,6
cố gắng chẳng,6
the lady in,6
cầu thân thương,6
me when we,6
noọng inh lả,5
chào thân việt,5
thân việt nam,5
ru giấc ngủ,5
màu hoa mến,5
cõng đi câu,5
hoa mến yêu,5
xuân đứa bé,5
chiều chúa nhật,5
lả noọng inh,5
đi mùa thu,5
chúa nhật buồn,5
mùa xuân đứa,5
thiêng chở hồn,4
tan bóng đêm,4
thương tiếc chi,4
noọng ời khắp,4
nín nín đi,4
thăm quê hương,4
bắc ngời mùa,4
bạc lắm chồng,4
cầu thăm quê,4
đi bơ vơ,4
hỡi ru hời,4
mùa hè thân,4
hé cười inh,4
me you love,4
rừng tây bắc,4
nhịp cầu quê,4
vui ôm yêu,4
