words,count
trời mưa,15
việt nam,11
trái tim,11
quảng đức,9
mưa trời,8
phật giáo,7
giáo việt,7
bồ tát,7
tát quảng,7
mưa cóc,6
ơn ngài,6
muôn đời,6
viện phật,5
mái lá,5
học viện,5
đức muôn,5
rạng ngời,4
mưa mưa,4
nam đời,4
đi đạo,4
tim ngài,4
ngài lửa,4
dựng xây,4
đi cày,4
đạo pháp,4
giáo pháp,4
lửa bùng,4
lai đi,3
chang chang,3
mùa vội,3
lúa khô,3
khô vàng,3
tình yêu,3
phú yên,3
tương lai,3
mồ hôi,3
hôi tuôn,3
xang ước,3
tràn đồng,3
tu tiến,3
mưa giao,3
chang mồ,3
gọi trời,3
két trời,3
trời nắng,3
vội mẹ,3
ước mưa,3
cóc gọi,3
cóc trời,3
trời nghiến,3
