words,count
trời mưa trời,8
tát quảng đức,7
giáo việt nam,7
bồ tát quảng,7
phật giáo việt,7
trời mưa cóc,6
mưa trời mưa,6
học viện phật,5
đức muôn đời,5
viện phật giáo,5
quảng đức muôn,5
trái tim ngài,4
việt nam đời,4
ngài lửa bùng,4
xây tương lai,3
trời nắng chang,3
xốn xang ước,3
chang mồ hôi,3
tu tiến dựng,3
xang ước mưa,3
mùa vội mẹ,3
mưa giao mùa,3
mưa cóc gọi,3
giao mùa vội,3
ken két trời,3
tuôn tràn đồng,3
khô vàng xốn,3
lúa khô vàng,3
mưa cóc trời,3
thành tâm ta,3
tâm ta tu,3
tiến dựng xây,3
gọi trời mưa,3
cóc gọi trời,3
két trời mưa,3
nắng chang chang,3
vàng xốn xang,3
đồng lúa khô,3
chang chang mồ,3
hôi tuôn tràn,3
cóc trời nghiến,3
ước mưa giao,3
tương lai đi,3
tràn đồng lúa,3
bao trời mưa,3
dựng xây tương,3
mồ hôi tuôn,3
nghiến ken két,3
mẹ bao trời,3
trời nghiến ken,3
