words,count
when we,8
in red,8
lady in,8
we were,7
were young,7
one day,7
young one,6
me when,6
the lady,6
you loved,4
đỉnh núi,4
remember you,4
loved me,4
red the,4
you love,4
you told,4
love me,4
me you,4
told me,4
never seen,3
êm đềm,3
of spring,3
morning in,3
in may,3
me and,3
spring are,2
a feeling,2
we laughed,2
then we,2
đắm say,2
ôi tình,2
close to,2
and held,2
tình ta,2
day you,2
sung remember,2
then came,2
then then,2
we cried,2
red my,2
time to,2
song of,2
that morning,2
came the,2
laughed then,2
to be,2
cried then,2
part when,2
me close,2
núi vời,2
