words,count
lady in red,8
when we were,7
we were young,7
were young one,6
young one day,6
the lady in,6
me when we,6
me you love,4
you love me,4
you told me,4
you loved me,4
loved me when,4
in red the,4
remember you loved,4
told me you,4
red the lady,4
morning in may,3
held me close,2
such a feeling,2
part when song,2
we laughed then,2
red my lady,2
came the time,2
laughed then we,2
may remember you,2
in red my,2
your heart we,2
song of spring,2
spring are sung,2
to your heart,2
to part when,2
heart we laughed,2
and held me,2
in may remember,2
then then came,2
time to part,2
my lady in,2
when song of,2
are sung remember,2
day you told,2
then came the,2
of spring are,2
then we cried,2
day remember you,2
close to your,2
that morning in,2
we cried then,2
love me and,2
đỉnh núi vời,2
the time to,2
