words,count
quê hương,305
việt nam,297
mùa xuân,244
ta đi,181
hơ hơ,153
tình yêu,148
trường sơn,146
tổ quốc,128
trường sa,127
quê ta,111
chí minh,103
hồ chí,103
yêu thương,98
chiến thắng,98
miền nam,97
thành phố,97
dòng sông,89
giải phóng,80
mênh mông,79
tiếng hát,76
dậy đi,75
quân thù,70
chiến đấu,70
chiến sĩ,69
sông đà,67
ước mơ,64
trái tim,64
tương lai,63
non sông,60
đoàn quân,55
hành quân,53
thăng long,52
hát ca,52
chiến trường,49
thiết tha,49
tiếng ca,49
hò khoan,48
muôn đời,48
chiến công,47
sông núi,46
núi sông,46
bao la,46
chân trời,45
đồng bào,45
sài gòn,45
biên giới,43
dân ta,43
đi đi,43
hạnh phúc,42
sa trường,42
