words,count
hơ hơ hơ,109
hồ chí minh,103
sông đà sông,39
đà sông đà,39
dậy đi dậy,37
đi dậy đi,37
trường sa trường,29
đường ta đi,29
yêu quê hương,27
sa trường sa,26
thành phố hồ,22
khoan hò khoan,21
hư hư hư,20
bạch đằng giang,20
phố hồ chí,20
giải phóng quân,19
chào mùa xuân,19
hơ hờ hơ,19
hơ hớ hơ,19
đi thông đường,18
xuân chiến khu,18
suối la la,18
quê hương ta,18
đất quê hương,17
đường trường sơn,17
xe ta bon,17
hò khoan,16
ca bao quên,16
hỡi đồng bào,16
ca quên quên,16
đi hỡi đồng,16
ta đem thân,16
dậy đi hỡi,16
gái tiền phương,16
đem thân ta,16
việt nam ta,16
tình quê hương,16
lơ hó lơ,15
trời quê hương,15
khoan khoan hò,15
khoan khoan,15
hò lơ hó,15
xuân thành phố,14
đảo quê hương,14
tình yêu thương,14
ôi việt nam,14
toàn dân ta,14
tình yêu,14
ha ha ha,14
la la la,14
