words,count
màu hoa,21
nhịp cầu,17
mùa xuân,16
quê hương,13
hời hỡi,10
ru hời,8
dắt mấy,8
mấy nhịp,8
muôn màu,7
sắc hương,7
hoa bốn,7
bốn mùa,7
thân thương,6
nang ninh,6
cầu hiền,6
chiêu thoa,6
cầu thân,6
hiền lương,6
vườn xoài,5
thương bây,5
kỷ niệm,5
mến yêu,5
tươi tặng,5
hoa mến,5
niệm xưa,5
xinh thăm,4
hương mường,4
lúng liếng,4
chi bạc,4
thơ hai,4
hỡi ru,4
cầu nhịp,4
cầu thăm,4
vườn cà,4
thăm tung,4
chàng ôi,4
ninh nang,4
chồng ôi,4
hới hời,4
thương chàng,4
tung cánh,4
chồng,4
hỡi chàng,4
cánh hoa,4
hoa đào,4
cầu kiều,4
lắm chồng,4
ôi hỡi,4
núi rừng,4
hỡi hới,4
