words,count
mấy nhịp cầu,8
ru hời hỡi,8
dắt mấy nhịp,8
hoa bốn mùa,7
cầu thân thương,6
cầu hiền lương,6
kỷ niệm xưa,5
màu hoa mến,5
hoa mến yêu,5
hỡi chàng chàng,4
nín nín đi,4
quê hương cầu,4
chàng ôi hỡi,4
cầu thăm quê,4
hỡi ru hời,4
hời hỡi ru,4
hỡi hới hời,4
nhiêu màu hoa,4
ngủ ngủ đi,4
chi tệ tệ,4
đi ngủ ngủ,4
thăm quê hương,4
bạc lắm chồng,4
nhịp cầu quê,4
ôi hỡi chồng,4
nhịp cầu thăm,4
chi bạc bạc,4
bao nhiêu màu,4
hương cầu hiền,4
hỡi hỡi hới,4
hai thơ vườn,4
nín đi ngủ,4
xinh thăm tung,4
nhịp cầu nhịp,4
cầu nhịp cầu,4
đẹp xinh thăm,4
cầu quê hương,4
chồng ôi chi,4
hỡi chồng chồng,4
chồng chồng ôi,4
cảm thương chàng,4
tung cánh hoa,4
bạc bạc lắm,4
thăm tung cánh,4
màu hoa tươi,4
chàng chàng ôi,4
tệ tệ chồng,4
hời ru hời,4
hới hời ru,4
ôi chi bạc,4
