words,count
mặt trời,9
mùa hè,8
ru ru,7
nang ninh,6
cố gắng,6
đứa bé,6
chiêu thoa,6
gắng chẳng,6
mùa xuân,6
vườn xoài,5
ru giấc,5
đi câu,5
mãi mãi,5
xuân đứa,5
cõng đi,5
hè rộn,4
ngân âm,4
đi đêm,4
thơ hai,4
mãi thương,4
vườn cà,4
nhạc thiền,4
chiều phố,4
phiêu diêu,4
trời mặt,4
chuông ngân,4
phố đời,4
ninh nang,4
tình thương,4
giấc ngủ,4
rộn rã,4
hè thân,4
cầu kiều,4
thơ vườn,4
thiết gọi,4
diêu cõi,4
gọi dắt,4
hai vườn,4
hai thơ,4
thân thiết,4
ấm gia,3
an lành,3
suốt đời,3
đầu làng,3
yêu suốt,3
chiêu cầu,3
hòa điệu,3
lành nhiệt,3
ru,3
làng đình,3
