words,count
cố gắng chẳng,6
cõng đi câu,5
xuân đứa bé,5
mùa xuân đứa,5
trời mặt trời,4
chiều phố đời,4
mãi mãi thương,4
chuông ngân âm,4
ru giấc ngủ,4
mùa hè thân,4
hai thơ vườn,4
hè rộn rã,4
thiết gọi dắt,4
mùa hè rộn,4
hè thân thiết,4
thân thiết gọi,4
mặt trời mặt,4
phiêu diêu cõi,4
hai vườn xoài,4
chiêu cầu kiều,3
an lành nhiệt,3
ấm gia đình,3
gia đình hòa,3
sống an lành,3
mái ấm gia,3
hòa điệu sống,3
yêu suốt đời,3
điệu sống an,3
đi câu yêu,3
hướng tâm linh,3
lành nhiệt thành,3
kiều chiêu thoa,3
cầu kiều chiêu,3
đình hòa điệu,3
nang ninh làng,3
thoa vườn cà,3
thành hướng tâm,3
ninh làng đình,3
câu yêu suốt,3
nang đầu làng,3
thơ hai vườn,3
nhiệt thành hướng,3
ninh đầu đình,3
thơ vườn dừa,3
yêu thương giấy,2
gắng chẳng chân,2
dường giọt mắt,2
thể xóa đôi,2
yên nằm bàn,2
thưòng yêu dấu,2
