words,count
tình yêu,58
ha ha,41
cầu tre,30
sài gòn,30
mùa xuân,29
yêu thương,24
giấc mơ,23
nhịp cầu,22
hô hô,22
gòn đêm,20
hạnh phúc,19
đôi ta,19
chờ mong,18
đêm đêm,18
oh oh,17
dịu dàng,17
big girls,16
girls dont,16
nối liền,15
hững hờ,14
trái tim,14
yêu hỡi,12
no more,12
cánh chim,12
hứa đi,11
đi hững,11
đêm đi,11
cay đắng,11
lạnh lùng,10
tình ta,10
phút giây,10
tiếng hát,10
đêm sài,10
nụ cười,10
quên đi,10
đi đi,10
oan trái,9
buồn buồn,9
tình oan,9
đường đời,9
quên tình,9
đừng đừng,9
dòng sông,9
thiết tha,9
tiếng ca,9
niềm vui,8
girls big,8
dont girls,8
êm đềm,8
nghẹn ngào,8
