words,count
ha ha ha,38
la la la,21
sài gòn đêm,20
nhịp cầu tre,19
hô hô hô,16
big girls dont,16
đi hững hờ,11
hứa đi hững,11
oh oh oh,10
đêm sài gòn,10
tình oan trái,9
girls big girls,8
gòn đêm đi,8
dont girls big,8
girls dont girls,8
girls dont cry,8
want you anymore,7
mùa xuân dịu,7
dont want you,7
xuân dịu dàng,7
xuân mùa xuân,7
i dont want,7
hững hờ,7
dừng chân lữ,6
sông gấm nối,6
xanh sông gấm,6
gấm nối liền,6
vòng tử sinh,6
i really really,6
lữ sống đêm,6
cause i really,6
how can i,6
biển xanh sông,6
chân lữ sống,6
nối liền vòng,6
cuz you know,6
sống đêm sài,6
liền vòng tử,6
đôi cánh chim,6
you anymore i,5
mấy nhịp cầu,5
hứa đi,5
mùa xuân mùa,5
cất tiếng hát,5
ngàn yêu thương,5
anymore i dont,5
đớn đau tình,5
môi bắc vô,4
ta vui đêm,4
your heart your,4
