words,count
quê hương,289
tình yêu,227
i i,173
dòng sông,158
yêu thương,131
việt nam,120
mùa xuân,107
hà nội,92
kỷ niệm,87
tiếng hát,83
bến sông,77
câu hò,77
quê ta,77
tình tang,74
tình ta,73
trường sa,73
tình quê,71
hò hò,69
la lá,68
lá la,68
mênh mông,68
câu hát,68
đợi chờ,66
nụ cười,65
miền tây,65
tang tình,64
thiết tha,61
mong chờ,59
xuân xuân,58
mặt trời,55
hai đứa,55
chờ mong,55
giấc mơ,55
tiếng ca,55
a a,54
đôi ta,53
dân ca,53
thương thương,53
hạnh phúc,52
cầu tre,52
nhịp cầu,51
ánh trăng,50
bâng khuâng,49
mơ ước,49
tâm hồn,49
vấn vương,49
ân tình,49
ta ta,48
đắng cay,48
chiều mưa,48
