words,count
la la la,165
i i i,114
lá la la,64
la la lá,48
la lá la,48
ha ha ha,40
hơ hơ hơ,36
tang tình tang,35
khoan hò khoan,32
hò dô ta,28
ố tang tình,25
pa pa pa,23
hồ chí minh,22
lá lá la,20
la lá lá,20
nhịp cầu tre,20
khoan khoan hò,19
chiều mưa phố,18
vàm cỏ đông,18
sáo sổ lồng,18
kỷ niệm xưa,17
trái mồng tơi,17
trường sa trường,17
hò hò lơ,17
khúc dân ca,17
sa trường sa,17
hừ hư hừ,16
khoan khoan,16
thăm quê hương,16
hư hừ hư,16
bìm bịp kêu,16
đi giăng câu,16
hò khoan,15
nang tít tàng,15
bắc ta đi,15
long hà nội,15
tít tang non,15
xưa lối cũ,15
tang non nang,15
xuân mùa xuân,15
tang ố tang,15
hò hò dô,15
hừ hư hứ,15
non nang tít,15
tình tang tình,15
a a ru,14
dòng sông quê,14
đường xưa lối,14
đẹp quê hương,14
a ru hời,14
