words,count
i i,92
quê hương,58
tình yêu,28
tiếng sóng,25
rồng bay,23
dòng sông,23
trái tim,21
mùa xuân,20
nhịp cầu,18
bao la,15
chiều chiều,14
mùa thu,14
bay rồng,14
đừng hun,12
sen trắng,12
vượn trèo,12
tình tang,12
mù u,12
việt nam,11
hạnh phúc,11
lả noọng,10
mẹ ru,10
inh lả,10
giòng sông,10
sóng biển,10
tang tình,9
thăng long,9
bay bay,9
kia mù,8
kia kia,8
ước mơ,8
đợi chờ,8
đèo đèo,8
dắt mấy,8
trèo kia,8
u kia,8
mấy nhịp,8
hà nội,8
vui buồn,8
chim kêu,8
kề đừng,8
sài gòn,8
đất bốn,7
đi mùa,7
chim bay,7
tình ta,7
mênh mông,7
long ngàn,7
ru quê,7
tiền nhân,7
