words,count
i i i,72
rồng bay rồng,14
bay rồng bay,14
tiếng sóng biển,10
inh lả noọng,10
mấy nhịp cầu,8
trèo kia kia,8
chiều chiều chiều,8
vượn trèo kia,8
dắt mấy nhịp,8
kia mù u,8
rồng bay bay,8
kề đừng hun,8
mù u kia,8
u kia mù,8
thăng long ngàn,7
bốn ngàn thăng,7
ngàn thăng long,7
đất bốn ngàn,7
i thương i,6
thương i i,6
cầu hiền lương,6
mẹ ru quê,6
tang tình tang,6
cầu thân thương,6
i i thương,6
âm vang mãi,6
yêu quê hương,6
vang mãi tiếng,6
noọng inh lả,5
tia nắng đầu,5
khao tình yêu,5
đường miền trung,5
khát khao tình,5
tiên tiếng sóng,5
nắng đầu tiên,5
sóng biển khát,5
biển khát khao,5
quê hương yêu,5
đầu tiên tiếng,5
mãi đời tiếng,5
sen trắng sen,5
lả noọng inh,5
đi mùa thu,5
thăm quê hương,4
mày ngủ tao,4
đám kìa mù,4
ru quê hương,4
thơ đẹp mẹ,4
biển xanh hát,4
