words,count
tình yêu,77
yêu yêu,54
uh uh,51
yêu thương,49
yêu dấu,44
giấc mơ,37
trái tim,33
dấu yêu,32
mùa xuân,29
hạnh phúc,25
ha ha,24
na na,24
tiếng hát,21
ta đi,21
ta yêu,21
đôi ta,20
đinh lĩnh,19
ánh mắt,19
mưa mưa,18
mãi yêu,17
thương yêu,17
you're not,16
if you're,16
tiếng cười,16
bình yên,15
đắng cay,15
đi ta,15
nỗi đau,15
yêu đôi,15
tiếc nuối,14
yêu ta,14
honey honey,14
nụ hôn,13
giọt mưa,13
in it,13
tình tình,13
it for,13
phút giây,13
not in,13
cay đắng,13
yêu tình,13
yêu mãi,12
hu hu,12
trăng trăng,12
mong chờ,12
hơ hơ,12
chân trời,12
oh oh,11
bình minh,11
tuyệt vời,11
