words,count
la la la,56
uh uh uh,49
na na na,22
ha ha ha,21
yêu dấu yêu,20
dấu yêu dấu,20
if you're not,16
yêu yêu yêu,15
not in it,13
you're not in,13
in it for,13
hu hu hu,10
hơ hơ hơ,10
vạn muôn kiếp,9
it for love,9
mưa miền đất,8
mưa đời biển,8
đời biển động,8
yêu trái tim,8
mưa mưa đời,8
cất tiếng hát,8
miền đất rộng,8
mắt bóng đêm,7
đường đời bao,7
mãi yêu yêu,7
yêu đôi ta,7
ta mãi yêu,7
mù khuất lối,6
bắt đầu lẽ,6
khuất lối đi,6
sai sai mặc,6
đầu lẽ bình,6
my first time,6
ta sai sai,6
lối đi ta,6
ánh mắt bóng,6
đêm thao thức,6
babe come on,6
yêu trọn đời,6
come on babe,6
mặc khứ đi,6
thương yêu ngào,6
đi ta bắt,6
ta bắt đầu,6
đi ta sai,6
oh ho oh,6
khứ đi ta,6
thời gian vơi,6
ước thương yêu,6
mây mù khuất,6
