words,count
di da,142
da di,140
mùa xuân,83
lá la,73
la lá,71
yêu thương,68
ước mơ,66
bé ngoan,65
tết tết,64
bống bống,56
réc réc,48
na na,47
búp bê,46
quê hương,46
meo meo,45
di di,43
tiếng hát,42
a a,42
i a,42
vui vui,41
a i,36
hạnh phúc,35
tình yêu,31
hát ca,31
bé bé,30
đi học,29
bao la,29
lá lá,28
hát vang,28
ca vang,27
noel no,24
ta chạy,24
no noel,24
tùng tùng,24
vườn hoa,23
việt nam,23
rộn ràng,23
vang lừng,23
bình minh,23
xinh xinh,23
nhịp nhàng,23
chào chào,23
nụ cười,23
tròn tròn,23
bầu trời,22
mẹ mẹ,22
oh oh,22
phố phường,22
chim non,22
mặt trời,22
