words,count
la la la,172
di da di,140
da di da,92
la lá la,50
na na na,46
la la lá,43
di di da,43
da di di,43
tết tết tết,40
lá la la,39
bống bống bống,36
a i a,36
i a i,28
lá la lá,26
meo meo meo,26
réc réc réc,24
a a a,22
oh oh oh,20
bống bống bang,20
tùng tùng tùng,18
ò ó o,18
noel no noel,18
no noel no,17
cheng cheng cheng,16
gánh gánh gồng,16
gánh gồng gồng,16
vang lừng mừng,16
ta chạy ta,16
chạy ta chạy,16
cộc cộc cộc,16
hát vang lừng,16
hello búp bê,15
lá lá la,14
hồ chí minh,14
vườn âm nhạc,14
lá lá lá,14
a ru hời,14
a a ru,14
la lá lá,13
bé khoẻ bé,13
đố hơi đếm,13
khoẻ bé ngoan,13
ngủ bé ngoan,12
bao yêu thương,12
cất tiếng hát,12
bé ngoan bé,12
đi lễ chùa,12
réc xấu đi,12
réc réc xấu,12
bống bang bang,12
