words,count
tình yêu,6280
yêu thương,3496
trái tim,2884
giấc mơ,2640
hạnh phúc,2462
mùa xuân,1708
yêu yêu,1563
đôi ta,1542
mãi mãi,1384
nụ cười,1324
na na,1300
oh oh,1176
quên đi,1092
tình ta,1081
ước mơ,1060
phút giây,1041
nỗi đau,988
mưa rơi,985
kỷ niệm,948
mong chờ,868
ánh mắt,845
yêu mãi,830
đổi thay,822
ta yêu,812
bình yên,805
mùa đông,800
da da,770
nụ hôn,729
mãi yêu,703
ha ha,688
đợi chờ,684
đắm say,679
đắng cay,671
yêu tình,666
đi đi,652
ấm áp,611
niềm vui,609
yêu ta,606
bao yêu,604
dịu dàng,604
dấu yêu,599
yêu dấu,586
tim yêu,582
niềm đau,570
thiết tha,565
yêu hỡi,560
đi bao,558
nỗi buồn,557
chờ mong,556
tiếng yêu,550
