words,count
la la la,1872
na na na,1163
oh oh oh,689
da da da,674
ha ha ha,597
bao yêu thương,362
hơ hơ hơ,355
thời gian trôi,349
yêu tình yêu,327
tình yêu ta,276
yêu yêu yêu,243
tình yêu trao,226
ho ho ho,225
trái tim yêu,221
tình yêu mãi,220
hư hư hư,216
,212
tình đôi ta,211
la lá la,201
xuân mùa xuân,192
uh uh uh,186
bao nhiêu yêu,183
ah ah ah,181
tết tết tết,177
hu hu hu,177
mơ giấc mơ,174
yêu trái tim,173
yêu mãi mãi,166
xuân xuân xuân,161
tình yêu tình,161
mùa xuân mùa,156
đi tình yêu,154
niềm hạnh phúc,147
lá la la,147
la la lá,145
mãi mãi yêu,140
bao kỷ niệm,139
tình yêu đôi,138
mơ tình yêu,137
yêu suốt đời,136
quên đi bao,131
yêu trọn đời,130
trái tim ta,128
yêu đôi ta,128
tình yêu đầu,127
đi bao nhiêu,126
tình yêu xưa,125
i love you,123
lá la lá,122
nhiêu yêu thương,122
