words,count
hưm hưm,48
mẹ ru,43
mùa thu,37
mai đi,35
í,34
mưa mưa,30
ha ha,28
í,28
đường phố,27
a,27
quê hương,25
mẹ đi,25
a,24
trái tim,24
yêu thương,24
thành phố,23
,23
hoa vàng,22
hai mươi,22
tình yêu,22
đàn ta,20
bàn chân,20
ta hát,20
ngậm ngùi,20
mặt trời,20
mùa xuân,19
nụ cười,19
mưa rơi,19
mưa nắng,18
đi đường,18
ta đi,18
nghìn thu,18
đóa hoa,17
đi biển,17
xôn xao,16
ru mãi,16
ngàn ru,15
hu hu,15
bao la,15
trời mưa,15
giọt mắt,15
mênh mông,14
đường đi,14
âm thầm,14
đánh biển,14
ca dao,14
lang thang,13
đất trời,13
chân đi,13
vết thương,13
