words,count
hưm hưm hưm,43
ha ha ha,27
la la la,26
í,23
đàn ta hát,20
í  a,16
mai đi biển,16
í,12
mưa mưa rơi,11
đi biển gọi,11
uh hu hu,11
giọt mắt thương,11
í a,11
í a,11
trời mưa mưa,11
a,11
hu hu uh,10
hu uh hu,10
câu ca dao,10
đi thành phố,10
mai đi thành,10
thành phố mắt,10
ru miệt mài,10
mắt đêm đèn,10
ta hát câu,10
hát câu ca,10
phố mắt đêm,10
chân âm thầm,9
thu lá rụng,9
đêm đèn vàng,9
hôm thức dậy,9
nhật buồn đóa,8
ru mãi ngàn,8
buồn đóa hoa,8
mưa miền đất,8
cỏ lá giọt,8
mưa đời biển,8
đường cỏ lá,8
giọt sương thu,8
đời biển động,8
miệt mài ngàn,8
ngàn ngàn ru,8
trời gió lộng,8
mưa mưa đời,8
chủ nhật buồn,8
mùa thu lá,8
thu ngậm ngùi,8
miền đất rộng,8
mài ngàn ngàn,8
đời hoa vàng,8
