words,count
tình yêu,1675
yêu thương,786
quê hương,723
mùa xuân,666
kỷ niệm,641
trái tim,580
giấc mơ,542
dòng sông,525
,523
hạnh phúc,475
mùa thu,421
đôi ta,404
mưa rơi,398
ước mơ,393
tình ta,371
mùa đông,341
đợi chờ,308
nụ cười,306
hai đứa,305
yêu yêu,303
ân tình,291
thiết tha,282
mãi mãi,276
mênh mông,274
mong chờ,273
tiếng hát,268
đôi mắt,262
hà nội,258
âm thầm,258
mộng mơ,246
quên đi,246
câu hát,241
cánh chim,238
bơ vơ,236
ánh trăng,231
ban đầu,230
lang thang,229
yêu dấu,223
đêm đêm,220
êm đềm,219
lạnh lùng,211
bâng khuâng,210
đời ta,210
lẻ loi,210
trọn đời,204
đắng cay,198
yêu tình,198
hơ hơ,194
tâm hồn,194
chờ mong,193
