words,count
la la la,458
,232
na na na,146
hơ hơ hơ,146
lá la la,113
kỷ niệm xưa,105
la lá la,99
yêu tình yêu,93
la la lá,91
hư hư hư,87
oh oh oh,85
bao kỷ niệm,85
quê hương ta,81
da da da,79
hò hò hò,78
tình yêu tình,64
tình đôi ta,62
tình yêu ta,62
i i i,60
thời gian trôi,59
tình quê hương,54
yêu yêu yêu,53
ha ha ha,52
cánh chim bay,51
hum hum hum,48
mưa rơi mưa,44
trái tim ta,42
ô ngựa ô,42
hu hu hu,42
mưa rơi rơi,41
lá thu rơi,41
hò hò khoan,40
ánh trăng vàng,40
bao ước mơ,40
tình dở dang,37
a a a,37
đời tình yêu,37
ngựa ô ô,36
khoan hò khoan,36
quên kỷ niệm,35
mùa xuân mùa,35
xuân mùa xuân,35
yêu đời yêu,34
tình yêu đời,34
yêu trái tim,34
bao yêu thương,34
mùa thu lá,34
giấc chiêm bao,33
câu hát lý,33
đường tình yêu,33
