words,count
việt nam,44
beautiful việt,36
nam beautiful,24
tình thương,14
quê hương,14
mặt trời,14
mẹ đi,14
trời kia,13
bổn sư,11
đản sanh,10
phật đản,10
rừng sala,9
lung linh,9
sanh mẹ,8
mừng phật,8
mô bổn,8
tình yêu,8
hy sinh,8
lễ chùa,8
đi lễ,8
cầu chi,8
dâng mẹ,8
cầu phật,8
nam mô,8
ta đi,8
hôm mừng,8
an vui,7
trần gian,7
hương bi,6
độ ta,6
công đức,6
mười phương,6
always in,6
phẩm liên,6
đài độ,6
đi ta,6
nam tim,6
sanh bốn,6
my heart,6
nghiêng bóng,6
hành hương,6
chân phật,6
vu lan,6
nặc đi,6
kia yeah,6
yên vui,6
bốn tám,6
phật khấn,6
hân hoan,6
yêu mẹ,6
