words,count
beautiful việt nam,36
việt nam beautiful,24
nam beautiful việt,24
mặt trời kia,13
mẹ đi lễ,8
phật đản sanh,8
đi lễ chùa,8
mô bổn sư,8
đản sanh mẹ,8
sanh mẹ đi,8
nam mô bổn,8
hôm mừng phật,8
mừng phật đản,8
đài độ ta,6
chân phật khấn,6
in my heart,6
liên đài độ,6
lợi sanh bốn,6
sanh bốn tám,6
nặc đi ta,6
kia yeah yeah,6
phẩm liên đài,6
đi hành hương,6
sa nặc đi,6
chín phẩm liên,6
heart beautiful việt,6
trời kia mặt,6
kia mặt trời,6
nguyện chín phẩm,6
bốn tám nguyện,6
nam always in,6
tám nguyện chín,6
always in my,6
trời kia yeah,6
việt nam tim,6
việt nam always,6
my heart beautiful,6
cầu phật tổ,5
an vui muôn,5
tổ ban lành,5
cầu an vui,5
nắng lung linh,5
phật tổ ban,5
tình thương vô,5
tát hằng sa,4
dâng đời chúa,4
bừng đón tư,4
hoa bạch bào,4
xuất gia đầu,4
chúa tình yêu,4
