words,count
oh oh oh,50
wơ uh wơ,45
uh wơ uh,33
uh wơ oh,19
tak đồng hồ,14
vòng tik tak,14
đồng hồ vòng,14
tik tak đồng,14
hoàng trần nhân,10
phật hoàng trần,10
wơ oh oh,10
trần nhân tông,10
wơ oh uh,9
oh uh wơ,9
hồ vòng tik,7
tak vòng tik,7
tik tak vòng,7
hồ vòng bình,7
oh oh wơ,6
oh wơ uh,6
đi đừng chen,4
đứng đứng đường,4
đi đường đông,4
chân chút đi,4
chút đi đừng,4
đường đông ghê,4
dừng chân chút,4
chờ phút đi,4
taxi dừng chân,4
bình đứng đứng,4
chen dòng kia,4
taxi chờ phút,4
phút đi đường,4
đừng chen dòng,4
uh wơ taxi,3
oh tik tak,3
kia wơ uh,3
wơ taxi chờ,3
ghê wơ uh,3
dòng kia wơ,3
đông ghê wơ,3
oh oh tik,3
rộn ràng đấy,2
đai dòng vô,2
vô nắng cháy,2
thiên trúc thiền,2
trầm phật hoàng,2
nắng đôi mắt,2
thang ánh nắng,2
trúc thiền ươm,2
