words,count
donna donna,20
comme toi,15
hư hư,14
toi comme,12
ngủ đi,10
donna ngủ,10
trống đồng,8
hỡi hỡi,8
việt nam,6
rơi rơi,6
giang hồ,6
chân giang,6
hỡi,5
hỡi,5
đi bao,4
cánh mẹ,4
rơi donna,4
thơ ấu,4
nhịp trống,4
khúc ca,4
đi nằm,4
vô tình,4
muôn đời,4
tình mãi,4
mộng ước,4
mơ bay,4
đường gió,4
tiếng hát,4
nằm cánh,4
trời đường,4
rêu phong,4
tuyết rơi,4
đi trời,4
gió tuyết,4
tiếng ru,4
tiếng trống,4
hương nồng,4
ân tình,4
đêm tiếng,4
phút giây,3
yêu dấu,2
giấc mơ,2
khôn lụa,2
bao vô,2
đời hồn,2
phong cũ,2
sông núi,2
đời việt,2
chề hỡi,2
bao cay,2
