words,count
toi comme toi,12
hư hư hư,12
comme toi comme,11
donna ngủ đi,10
donna donna ngủ,10
donna donna donna,10
chân giang hồ,6
ngủ đi nằm,4
tuyết rơi donna,4
ngủ đi trời,4
tiếng trống đồng,4
đi nằm cánh,4
đi trời đường,4
hỡi  hỡi,4
đường gió tuyết,4
gió tuyết rơi,4
rơi rơi rơi,4
đêm tiếng ru,4
trời đường gió,4
rơi donna donna,4
nằm cánh mẹ,4
hỡi đêm xưa,2
đời việt nam,2
quê hương việt,2
phút giây thương,2
xưa yêu dấu,2
tình tiếng hát,2
thắm thiết xưa,2
vang hùng thiêng,2
hiền donna donna,2
hát mãi thiết,2
tình mãi lênh,2
đênh đi bao,2
bao núi sông,2
trống rộn ràng,2
biển núi vơi,2
ta say ân,2
rộn ràng hiên,2
sử vàng rạng,2
muôn đời tình,2
hương nồng hỡi,2
nam ngân vang,2
rạng rỡ khúc,2
vang vọng trùng,2
trống kiên cường,2
mưa nắng đành,2
bay đi khát,2
vang muôn tiếng,2
ràng hiên ngang,2
việt nam mến,2
