words,count
giấc mơ,11
trái tim,7
đôi ta,6
yêu thương,6
tình ta,5
đau tình,5
nát tan,5
đi bơ,4
phôi pha,4
nhặt vỡ,4
tình yêu,4
bé vỡ,4
ôm yêu,4
tình mong,4
tan bóng,4
thương tiếc,4
hạnh phúc,4
lạnh lùng,4
vỡ nát,4
tiếc chi,4
vơ lẻ,4
trao đau,4
đau đớn,4
nỗi đau,4
đừng thương,4
vô tình,4
mắt nỗi,4
đừng mong,4
ta phôi,4
mong mãi,4
tình trao,4
đêm lạnh,4
tim vô,4
hỡi tình,4
bóng đêm,4
loi nhặt,4
phúc bé,4
bơ vơ,4
thương xưa,4
mãi vui,4
khóc trái,4
chi đau,4
vui ôm,4
đau giấc,4
đôi hỡi,4
lùng đi,4
vỡ đôi,4
khóc khóc,4
mong đừng,4
lẻ loi,4
