words,count
vui ôm yêu,4
ôm yêu thương,4
mãi vui ôm,4
vỡ nát tan,4
mắt nỗi đau,4
đau giấc mơ,4
trái tim vô,4
thương tiếc chi,4
vơ lẻ loi,4
tan bóng đêm,4
đi bơ vơ,4
tiếc chi đau,4
yêu thương xưa,4
đêm lạnh lùng,4
hạnh phúc bé,4
phúc bé vỡ,4
hỡi tình trao,4
bóng đêm lạnh,4
mong mãi vui,4
vỡ đôi hỡi,4
tình ta phôi,4
đau tình ta,4
khóc trái tim,4
tình mong mãi,4
nhặt vỡ đôi,4
khóc khóc trái,4
đôi hỡi tình,4
bơ vơ lẻ,4
nát tan bóng,4
lùng đi bơ,4
mong đừng thương,4
lẻ loi nhặt,4
trao đau đớn,4
tim vô tình,4
ta phôi pha,4
tình trao đau,4
bé vỡ nát,4
vô tình mong,4
lạnh lùng đi,4
nỗi đau giấc,4
loi nhặt vỡ,4
đừng mong đừng,4
đừng thương tiếc,4
chi đau tình,4
giã tim đơn,3
câu giã tim,3
đơn vui chốn,3
thương xưa dấu,3
tim đơn vui,3
xưa dấu mắt,3
