words,count
oh oh,60
uh wơ,57
wơ uh,45
tik tak,21
wơ oh,19
vòng tik,14
hồ vòng,14
tak đồng,14
đồng hồ,14
oh uh,9
vòng bình,7
tak vòng,7
oh wơ,6
chen dòng,4
dòng kia,4
bình đứng,4
đừng chen,4
taxi chờ,4
chân chút,4
đi đường,4
dừng chân,4
đi đừng,4
đường đông,4
taxi dừng,4
phút đi,4
đứng đứng,4
đứng đường,4
chút đi,4
đông ghê,4
chờ phút,4
ghê wơ,3
oh tik,3
wơ taxi,3
kia wơ,3
xá thênh,2
đường taxi,2
mắt chán,2
cháy kia,2
ôi gian,2
máy chết,2
tắt máy,2
đôi mắt,2
ánh nắng,2
quanh bao,2
lao bay,2
rộn ràng,2
đấy đi,2
ràng đấy,2
taxi buồn,2
bình tik,2
