words,count
oh oh oh,50
wơ uh wơ,45
uh wơ uh,33
uh wơ oh,19
tak đồng hồ,14
vòng tik tak,14
đồng hồ vòng,14
tik tak đồng,14
wơ oh oh,10
wơ oh uh,9
oh uh wơ,9
tak vòng tik,7
tik tak vòng,7
hồ vòng bình,7
hồ vòng tik,7
oh oh wơ,6
oh wơ uh,6
đi đường đông,4
đi đừng chen,4
đứng đứng đường,4
chân chút đi,4
chút đi đừng,4
đường đông ghê,4
dừng chân chút,4
chờ phút đi,4
taxi dừng chân,4
bình đứng đứng,4
chen dòng kia,4
taxi chờ phút,4
phút đi đường,4
đừng chen dòng,4
uh wơ taxi,3
oh tik tak,3
kia wơ uh,3
wơ taxi chờ,3
ghê wơ uh,3
dòng kia wơ,3
đông ghê wơ,3
oh oh tik,3
xá thênh thang,2
máy bình đứng,2
thênh thang ánh,2
nắng đôi mắt,2
mắt hao gầy,2
mắt chán ngán,2
ôi gian quanh,2
đôi mắt hao,2
kia lao bay,2
rộn ràng đấy,2
vô nắng cháy,2
