words,count
tình yêu,63
yêu hỡi,32
yêu yêu,25
happy party,25
party we,25
tác giả,25
of my,23
dô dô,23
tiếng yêu,22
my head,22
i just,21
out of,21
hỡi yêu,21
like to,21
just can't,21
you out,20
head boy,20
get you,20
to party,20
let's party,20
think about,20
love you,20
we like,20
jd party,20
i love,20
al le,20
can't get,20
na na,20
trái tim,19
đinh lĩnh,19
wanna wish,18
wish you,18
i wanna,18
you a,18
a merry,18
merry christmas,18
a le,18
giấc mơ,17
gian dối,17
đôi ta,17
yêu thương,17
mãi mãi,16
mơ ước,16
chi xôi,15
phôi phai,15
always be,15
lyric,15
ta hứa,15
vu vơ,15
cát bụi,15
