words,count
la la la,152
out of my,21
i just can't,21
of my head,20
just can't get,20
my head boy,20
can't get you,20
you out of,20
i love you,20
like to party,20
party we like,20
we like to,20
get you out,20
let's party we,20
i wanna wish,18
you a merry,18
wish you a,18
wanna wish you,18
a merry christmas,18
loi bai hat,15
ước chi xôi,15
al le al,15
mơ ước chi,15
hứa vu vơ,15
le al le,15
cát bụi,15
tình gian dối,15
hat lyric,15
bai hat lyric,15
le a le,12
christmas i wanna,12
merry christmas i,12
a le a,12
dô dô dô,12
dô hò dô,11
dô dô hò,11
trọn đời hỡi,10
vội vã chia,10
gian dối hỡi,10
vơ gieo bao,10
say ta hứa,10
i think about,10
yêu vang yêu,10
ca bầu trời,10
rời trọn đời,10
tình mãi giấu,10
party always be,10
navidad feliz navidad,10
phai giác mơ,10
chia hứa vu,10
