words,count
mona lisa,26
mona mona,24
tonight tonight,16
youre beautiful,12
beautiful beautiful,12
all right,8
rối bời,8
lisa mona,7
lung linh,7
beautiful because,6
khao khát,6
cause youre,6
because youre,6
beautiful oh,6
vấn vương,6
trông bóng,5
rực rỡ,5
trái tim,5
phiền trái,4
lisa lung,4
trời mona,4
right all,4
nụ cười,4
tan đi,4
xóa ưu,4
linh ánh,4
mê say,4
môi đốt,4
tonight nụ,4
ưu phiền,4
lisa đôi,4
ôi khao,4
lisa lạnh,4
đi all,4
quên đi,4
vui cháy,4
đi buồn,4
giết chết,4
đốt cháy,4
buồn chán,4
lùng giết,4
chết mona,4
suy tonight,4
ánh mặt,4
cháy mona,4
tonight xóa,4
tonight quên,4
đôi môi,4
lisa ôi,4
chán tonight,4
