words,count
mona mona lisa,24
youre beautiful beautiful,12
mona lisa mona,7
lisa mona mona,7
cause youre beautiful,6
beautiful beautiful because,6
beautiful because youre,6
because youre beautiful,6
beautiful beautiful oh,6
chán tonight tonight,4
quên đi all,4
mona lisa ôi,4
linh ánh mặt,4
all right all,4
tonight vui cháy,4
lung linh ánh,4
phiền trái tim,4
right suy tonight,4
đi all right,4
tonight tonight vui,4
buồn chán tonight,4
mona lisa đôi,4
ánh mặt trời,4
môi đốt cháy,4
mona lisa lạnh,4
nụ cười xua,4
trời mona mona,4
đôi môi đốt,4
lisa lung linh,4
giết chết mona,4
tonight tonight nụ,4
tan đi buồn,4
tonight xóa ưu,4
đốt cháy mona,4
cháy tonight tonight,4
lạnh lùng giết,4
trái tim bừng,4
xua tan đi,4
lisa đôi môi,4
lisa lạnh lùng,4
lisa ôi khao,4
lùng giết chết,4
đi buồn chán,4
cháy mona mona,4
ôi khao khát,4
cười xua tan,4
all right suy,4
ưu phiền trái,4
mona lisa lung,4
suy tonight tonight,4
