words,count
rock with,17
with me,17
me rock,10
tình yêu,9
yêu rock,6
tiếng hát,6
bao la,6
unbreak my,6
my heart,5
me yeah,4
yeah yeah,4
yeah rock,4
mai cất,3
khăn ta,3
đi quyết,3
nung chí,3
mê guitar,3
hát khát,3
say mê,3
yêu bao,3
cháy tình,3
rực cháy,3
ca tiếng,3
hồn ta,3
rock oh,3
tim gian,3
mau khăn,3
nan nung,3
yeah say,3
quyết ánh,3
hát bao,3
bay ước,3
mơ mai,3
phiền tim,3
ta ta,3
đam mê,3
chí tâm,3
mặt trời,3
nắng chiếu,3
đi mau,3
xé nát,3
ước mơ,3
ta vươn,3
tương lai,3
vươn đi,3
nát muộn,3
gian nan,3
khát cháy,3
trời tương,3
la tình,3
