words,count
rock with me,17
me rock with,10
with me rock,10
tình yêu rock,6
unbreak my heart,5
yeah rock with,4
me yeah yeah,4
with me yeah,4
yeah yeah rock,4
bao niềm đam,3
tiếng hát khát,3
chí tâm hồn,3
quyết ánh nắng,3
quên đi mau,3
ta vươn đi,3
bay ước mơ,3
nung chí tâm,3
cất tiếng hát,3
bao la bao,3
ta bay ước,3
trời tương lai,3
cháy rock with,3
guitar hát bao,3
tim ta rock,3
mau khăn ta,3
rock oh yeah,3
la tình yêu,3
rock tình yêu,3
tương lai ngàn,3
yêu bao la,3
lai ngàn ca,3
mê guitar hát,3
ngàn ca tiếng,3
hồn ta ta,3
đi quyết ánh,3
mai cất tiếng,3
mơ mai cất,3
yêu rock tình,3
la bao la,3
yêu rock tim,3
hát bao niềm,3
khăn ta bay,3
xé nát muộn,3
nắng chiếu mặt,3
tim gian nan,3
muộn phiền tim,3
say mê guitar,3
tiếng hát xé,3
đi mau khăn,3
oh yeah say,3
