words,count
cảm xúc,9
bắt sóng,7
sóng cảm,6
yeah yeah,6
tình yêu,4
xúc yeah,3
nụ cười,3
let your,2
let the,2
hạnh phúc,2
the sorrow,2
yêu ta,2
you from,2
ta bắt,2
feelings flaming,2
sorrow let,2
phúc ta,2
yeah bắt,2
ok đừng,2
from the,2
up forever,2
music free,2
wanbi wanbi,2
flaming up,2
free you,2
the music,2
your feelings,2
ta rap,1
tim ok,1
hờn mắt,1
hoa muôn,1
cười đôi,1
vơi ok,1
bồi hồi,1
forever mỉm,1
yêu đời,1
vui giận,1
đôi tương,1
đừng vơi,1
mỉm cười,1
nhoài đời,1
ước mơ,1
khao khát,1
đừng buông,1
tương lai,1
xúc ta,1
mắt nụ,1
đời bao,1
trào dâng,1
muôn ca,1
